Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
spotify:track:7aWMSo61OZRFEIRb9YLM6b,Aami Ajkal Bhalo Aachi,spotify:artist:5LZ894xYE9MG1sal0gjt5L,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Dwitiyo Purush,31,0.408,0.266,2,-9.851,1,0.0265,0.711,0,0.109,0.211,85.22,295506
spotify:track:6au2vOKwkYiIZebv36v3dR,Rulaoge Na,spotify:artist:1HnV8VaGdip3y1SpJPgft0,Panther,53,"['desi hip hop', 'hindi hip hop']",Chahat,32,0.732,0.466,1,-7.939,0,0.0432,0.779,0,0.212,0.391,124.093,236000
spotify:track:30DN4r9jKC2NB3I5k22SAg,Farak Nahi Padta,spotify:artist:5C1S9XwxMuuCciutwMhp5t,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Farak Nahi Padta,31,0.694,0.603,6,-6.49,0,0.0523,0.593,0,0.107,0.146,124.187,207096
spotify:track:6od0EoWAS6bC6tfMXeWJ5X,"Soul (From ""Honey 3.0"")",spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,32,0.868,0.687,11,-5.847,0,0.0637,0.0342,3.42E-05,0.0891,0.518,139.933,246857
spotify:track:74gx2Y2MNxNR2K4nCY4EJI,Really Brown,spotify:artist:5HrGNVmY12srDtUFxDd49Z,The Siege,37,"['desi hip hop', 'hindi hip hop', 'indian underground rap']",Really Brown Really Rare,31,0.698,0.547,1,-11.355,1,0.395,0.23,0,0.729,0.841,135.011,139555
spotify:track:2sZq2eDkvO1wPnlwMxT31B,Boht Kuch,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Wholeheartedly,31,0.678,0.623,0,-7.801,0,0.45,0.488,0,0.132,0.404,93.612,199148
spotify:track:52Bs1KRJqqPa0h8W4pmoS4,Mere Sang (feat. Lisa Mishra),spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mere Sang (feat. Lisa Mishra),32,0.829,0.363,8,-8.895,1,0.0382,0.406,0.00256,0.103,0.448,96.006,177282
spotify:track:7HQ8PpUCQSb3X8qPGFjiQD,Dream,spotify:artist:5C1S9XwxMuuCciutwMhp5t,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Still Here,32,0.774,0.709,0,-6.435,0,0.309,0.118,0,0.122,0.471,86.017,249767
spotify:track:6Hp9z7QKjkLvKuKUJi9uB2,SALOOT,spotify:artist:5NHm4TU5Twz7owibYxJfFU,King,70,"['desi pop', 'hindi hip hop']",The Gorilla Bounce,31,0.706,0.628,1,-6.896,1,0.0987,0.684,0,0.0801,0.388,145.887,187397
spotify:track:0wVPtBDqqUvcAPTmm9zKC6,Yeshu Tere Kareeb,spotify:artist:1i0XuSVGD5Jb7Spgj7kLbG,Mark Tribhuvan,28,['hindi worship'],Yeshu Tere Kareeb,32,0.519,0.473,4,-8.832,1,0.027,0.741,0.000103,0.129,0.344,129.936,421056
spotify:track:3i11tRylj2Z0J4VO4XXnp7,Din Raat,spotify:artist:6i50rQJbETLRREwFn3plcw,Lifafa,39,"['hindi indie', 'indian electronic', 'indian indie', 'new delhi indie']",Jaago,33,0.596,0.73,7,-10.929,0,0.039,0.0225,0.385,0.274,0.074,123.02,265365
spotify:track:3Xy9fPLiM89BmYj944iBFg,Meri Baggi,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Bayaan,31,0.733,0.656,10,-7.81,0,0.289,0.306,0,0.192,0.36,136.014,198529
spotify:track:5ceC2huAxbtQh14Bn5DSLM,"Chaar Botal Vodka (From ""Ragini Mms 2"")",spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Super Hits Of Yo Yo Honey Singh,31,0.878,0.88,4,-3.713,0,0.0714,0.421,0.000352,0.12,0.875,123.02,225837
spotify:track:3VEOc7GOcyFuovS2JRL2Lo,Chandamama,spotify:artist:72beYOeW2sb2yfcS4JsRvb,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Mimmi,32,0.661,0.374,9,-7.561,1,0.0605,0.0171,0,0.0938,0.349,92.011,166958
spotify:track:0stGeNDOnZ4LOxkQZ8RDoX,What's My Name,spotify:artist:5C1S9XwxMuuCciutwMhp5t,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Still Here,31,0.829,0.853,7,-4.066,1,0.24,0.21,0,0.0901,0.955,90.018,154666
spotify:track:6d3pzFOju1ygO9ujaDfSjQ,Gehraiyaan,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Bayaan,31,0.804,0.481,2,-9.822,1,0.302,0.0799,0,0.33,0.309,139.928,222982
spotify:track:2hupOdIMMUyyh56txX9Jij,Marne Ke Baad Bhi...,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Nayaab,31,0.505,0.502,8,-10.594,1,0.44,0.644,0,0.642,0.576,89.352,211678
spotify:track:0vJmuzP2b7NbW291MwTdoe,"Party All Night (From ""Boss"")",spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Best Of 2013 - Dance Song,31,0.854,0.738,6,-5.388,0,0.231,0.203,0,0.298,0.804,129.989,282792
spotify:track:0CVNHyv4bKl2nIGuGipYO4,Shayad Ke Main Zinda Nahin,spotify:artist:4eRYn3YH7C07iG76wXFKun,Cha'bi,19,['hindi indie'],Shayad Ke Main Zinda Nahin,32,0.508,0.328,0,-9.488,1,0.0261,0.83,0.000543,0.0858,0.21,79.963,264148
spotify:track:1053V7Em6A7zn7Vd8chL26,ELEVATE,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",sPEAK,31,0.798,0.503,4,-7.106,0,0.0397,0.77,0,0.128,0.382,110.077,161454
spotify:track:34snhlvB8tJ09uWMlJBOmN,Scene Change,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",King Of The Streets,31,0.81,0.798,1,-3.364,1,0.164,0.227,0,0.11,0.405,114.215,210507
spotify:track:4IALofMkaEpltIkhpvo0sz,Hum Dono,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mulaqat,32,0.754,0.217,6,-13.721,0,0.0367,0.898,0.000409,0.109,0.635,128.017,221133
